City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Namibe,AO,72.79,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
5,Tete,MZ,73.35,overcast clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
6,Atuona,PF,79.07,broken clouds,-9.8,-139.0333,Villa Enata
8,Chuy,UY,68.34,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
11,Hobart,AU,73.99,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,Harper,LR,78.4,few clouds,4.375,-7.7169,Screensaver
14,Rikitea,PF,79.38,clear sky,-23.1203,-134.9692,Pension Maro'i
17,Bredasdorp,ZA,61.0,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
18,Castro,BR,64.63,light rain,-24.7911,-50.0119,CHACARA BAILLY
22,Saint-Philippe,RE,79.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
23,Mataura,NZ,73.81,overcast clouds,-46.1927,168.8643,Ellie's Villa
25,Vila Velha,BR,78.8,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
28,Ribeira Grande,PT,62.92,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
29,Salaga,GH,77.23,scattered clouds,8.5508,-0.5188,Bore Nada Guest House
30,Lucapa,AO,64.49,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
31,New Norfolk,AU,73.99,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
33,Caravelas,BR,74.48,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
35,Kapaa,US,75.2,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
37,Pitimbu,BR,77.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
49,Kaeo,NZ,73.0,clear sky,-35.1,173.7833,Bushido Lodge
54,Tshikapa,CD,70.52,moderate rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
58,Matamoros,MX,78.8,clear sky,25.5333,-103.25,Quinta Belem
59,Mar Del Plata,AR,61.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
60,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
61,Rawson,AR,60.64,few clouds,-43.3002,-65.1023,Hosteria Sampedro
63,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
66,Pafos,CY,60.8,clear sky,34.7667,32.4167,Elysium Hotel
68,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
69,Kalmunai,LK,78.55,overcast clouds,7.4167,81.8167,VS Villa
70,Akyab,MM,73.62,overcast clouds,20.15,92.9,Hotel Memory
71,Chokwe,MZ,75.87,clear sky,-24.5333,32.9833,Complexo Sonho Real
74,Cape Town,ZA,68.0,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
79,Pimentel,PE,72.32,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
82,Miranda,CO,67.15,clear sky,3.2499,-76.2281,unidiversidad organica la utopia
84,Sao Filipe,CV,74.39,overcast clouds,14.8961,-24.4956,Tortuga B&B
85,Horta,PT,62.2,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
87,Swellendam,ZA,66.0,clear sky,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
93,Yilan,TW,75.2,few clouds,24.756999999999998,121.75299999999999,Dar Chen Hotel
94,Tiarei,PF,77.0,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
95,Saint-Joseph,RE,79.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
98,Anjangaon,IN,65.43,clear sky,21.1631,77.3094,Shivam Lodge
