City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Namibe,AO,-15.1961,12.1522,72.79,75,97,5.08,overcast clouds
1,Busselton,AU,-33.65,115.3333,87.01,44,0,1.99,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,48.2,71,0,17.27,clear sky
3,Khor,RU,47.8861,134.9464,-13.38,85,0,11.72,clear sky
4,Namatanai,PG,-3.6667,152.4333,84.49,66,100,13.27,overcast clouds
5,Tete,MZ,-16.1564,33.5867,73.35,94,90,3.22,overcast clouds
6,Atuona,PF,-9.8,-139.0333,79.07,76,84,17.18,broken clouds
7,Batagay-Alyta,RU,67.8006,130.4114,-33.41,80,89,2.24,overcast clouds
8,Chuy,UY,-33.6971,-53.4616,68.34,93,100,15.59,light rain
9,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,82.33,63,19,9.86,few clouds
10,Mandalgovi,MN,45.7625,106.2708,6.84,78,61,26.33,broken clouds
11,Hobart,AU,-42.8794,147.3294,73.99,52,40,12.66,scattered clouds
12,Harper,LR,4.375,-7.7169,78.4,87,19,6.82,few clouds
13,Kamaishi,JP,39.2667,141.8833,28.4,69,75,6.91,light snow
14,Rikitea,PF,-23.1203,-134.9692,79.38,72,0,11.52,clear sky
15,Mount Isa,AU,-20.7333,139.5,102.2,22,40,11.5,scattered clouds
16,Yellowknife,CA,62.456,-114.3525,-16.01,76,1,4.61,clear sky
17,Bredasdorp,ZA,-34.5322,20.0403,61.0,91,0,6.82,clear sky
18,Castro,BR,-24.7911,-50.0119,64.63,96,100,4.03,light rain
19,Albany,US,42.6001,-73.9662,12.99,57,8,4.0,clear sky
20,Skibbereen,IE,51.55,-9.2667,41.0,93,75,14.97,light rain
21,Butaritari,KI,3.0707,172.7902,81.34,79,36,18.48,scattered clouds
22,Saint-Philippe,RE,-21.3585,55.7679,79.0,65,0,5.75,light rain
23,Mataura,NZ,-46.1927,168.8643,73.81,35,98,3.65,overcast clouds
24,Yumbing,PH,9.2393,124.6578,80.69,74,67,16.51,broken clouds
25,Vila Velha,BR,-20.3297,-40.2925,78.8,78,40,6.91,scattered clouds
26,Ostrovnoy,RU,68.0531,39.5131,15.35,95,100,7.52,light snow
27,Cayenne,GF,4.9333,-52.3333,80.6,89,75,11.5,broken clouds
28,Ribeira Grande,PT,38.5167,-28.7,62.92,93,99,19.6,overcast clouds
29,Salaga,GH,8.5508,-0.5188,77.23,48,29,3.27,scattered clouds
30,Lucapa,AO,-8.4192,20.7447,64.49,98,99,2.89,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,73.99,37,4,1.99,clear sky
32,Ushuaia,AR,-54.8,-68.3,48.2,71,20,23.02,few clouds
33,Caravelas,BR,-17.7125,-39.2481,74.48,87,1,3.87,clear sky
34,Barrow,US,71.2906,-156.7887,-16.6,69,90,4.61,light snow
35,Kapaa,US,22.0752,-159.319,75.2,78,40,18.41,scattered clouds
36,Tromso,NO,69.6496,18.957,21.99,92,99,2.3,overcast clouds
37,Pitimbu,BR,-7.4706,-34.8086,77.0,88,20,4.61,few clouds
38,Bluff,NZ,-46.6,168.3333,58.32,72,98,11.59,overcast clouds
39,Biak,ID,-0.9131,122.8766,82.54,64,100,1.23,overcast clouds
40,Awbari,LY,26.5921,12.7805,54.32,41,0,8.48,clear sky
41,Matara,LK,5.9485,80.5353,81.3,73,52,3.33,broken clouds
42,Lodja,CD,-3.4833,23.4333,68.85,98,100,2.1,moderate rain
43,Innisfail,AU,-17.5333,146.0333,81.28,82,100,10.2,overcast clouds
44,Bethel,US,41.3712,-73.414,17.01,67,1,6.8,clear sky
45,Taoudenni,ML,22.6783,-3.9836,63.28,27,1,4.9,clear sky
46,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,40,4.61,scattered clouds
47,Butembo,CD,0.15,29.2833,57.97,87,83,1.88,broken clouds
48,Marzuq,YE,14.4,46.4667,55.87,61,0,2.48,clear sky
49,Kaeo,NZ,-35.1,173.7833,73.0,53,0,14.0,clear sky
50,Kodiak,US,57.79,-152.4072,32.0,51,1,19.57,clear sky
51,Porto Novo,BJ,6.4965,2.6036,82.4,83,40,9.22,scattered clouds
52,Severo-Kurilsk,RU,50.6789,156.125,25.18,95,100,34.52,light snow
53,Hithadhoo,MV,-0.6,73.0833,81.79,79,10,13.98,clear sky
54,Tshikapa,CD,-6.4167,20.8,70.52,94,100,7.58,moderate rain
55,Andenes,NO,69.3143,16.1194,24.01,73,100,2.3,overcast clouds
56,Kununurra,AU,-15.7667,128.7333,87.8,74,40,5.75,scattered clouds
57,Vaini,TO,-21.2,-175.2,86.0,79,75,13.8,light rain
58,Matamoros,MX,25.5333,-103.25,78.8,18,1,6.42,clear sky
59,Mar Del Plata,AR,-38.0023,-57.5575,61.0,51,0,18.41,clear sky
60,Cabedelo,BR,-6.9811,-34.8339,77.0,88,20,4.61,few clouds
61,Rawson,AR,-43.3002,-65.1023,60.64,60,18,14.36,few clouds
62,Carnarvon,AU,-24.8667,113.6333,91.4,58,2,4.61,clear sky
63,Hilo,US,19.7297,-155.09,78.8,57,90,9.22,light rain
64,Praxedis Guerrero,MX,31.3667,-106.0167,53.6,17,1,5.75,clear sky
65,Zhoucheng,CN,35.9122,116.3117,49.39,43,33,7.07,scattered clouds
66,Pafos,CY,34.7667,32.4167,60.8,77,0,18.41,clear sky
67,Pangody,RU,65.85,74.4859,-18.78,85,100,18.54,overcast clouds
68,Puerto Ayora,EC,-0.7393,-90.3518,78.01,90,48,7.0,scattered clouds
69,Kalmunai,LK,7.4167,81.8167,78.55,83,97,5.7,overcast clouds
70,Akyab,MM,20.15,92.9,73.62,46,100,7.67,overcast clouds
71,Chokwe,MZ,-24.5333,32.9833,75.87,87,0,3.78,clear sky
72,Jumla,NP,29.2747,82.1838,41.77,38,0,1.1,clear sky
73,Alofi,NU,-19.0595,-169.9187,80.6,78,90,10.36,light rain
74,Cape Town,ZA,-33.9258,18.4232,68.0,82,75,8.05,broken clouds
75,Hanyang,CN,32.1371,105.5126,43.0,43,25,1.14,scattered clouds
